Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
GK Mall,pune,"3rd, 4th & 5th Floor, G.K.Mall, above Pantaloons (GK Mall, Pune, Maharashtra ), near Kokane Chowk, Pimple Saudagar, Pune, Maharashtra 411027, India",AWFIS,Maharashtra,pimple saudagar,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,GK Mall,4.0,327,63,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Raheja Towers,bengaluru,"Raheja Towers, 26/27, M.G Road, Bengaluru, Karnataka 560001",,Karnataka,ashok nagar,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,2500,13000,gold,Raheja Towers,4.9,347,81,"Day Pass, Dedicated Desk, Private Cabin"
Hosur Road,bengaluru," A block, 2nd Floor, Dayananda Sagar University Kudlu Gate, Hongasandra Village Begur Hobli, Hosur Rd, Bengaluru, Karnataka 560068",,Karnataka,singasandra,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,2500,11000,gold,Hosur Road,3.6,234,47,"Day Pass, Dedicated Desk, Private Cabin"
Innov8 Kurla,mumbai,"Piramal Agastya Private Limited Opposite Fire Brigade, Kamani Junction, Kajupad, Kurla, Mumbai, Maharashtra 400070",,Maharashtra,andheri west,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,standard,Innov8 Kurla,4.6,475,85,"Dedicated Desk, Private Cabin"
wework-Embassy Golflinks,bengaluru,"10/2A 10/2B, 3rd floor, Sunriver building,off Intermediate ring road, EGL, Cha llaghatta, Domlur, Bangalore, Karnataka 560071",Meher,Karnataka,challaghatta,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",10500,0,0,platinum+,wework-Embassy Golflinks,3.6,19,38,Flexi Desk
wework-RMZ Latitude Commercial,bengaluru,"Hebbal, 9th floor, RMZ Latitude Commercial, Bellary Road Hebbal, Near Godrej Apt, Bangalore, KA 560024",Chetana,Karnataka,hebbal,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,0,19000,platinum+,wework-RMZ Latitude Commercial,4.4,105,55,Private Cabin
Viman Nagar,pune,"Ground floor, Unit no.2 & 3, B-Wing, Business @ Mantri, Viman Nagar, Pune, Maharashtra 411014",,Maharashtra,viman nagar,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Viman Nagar,4.8,170,22,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Gachibowli,hyderabad,"5th Floor, Shanta Sriram Building, PSR Towers,, Gachibowli, beside DLF Building, Hyderabad, Telangana 500032",,Telangana,gachibowli,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Gachibowli,4.6,372,82,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
wework-Salarpuria Magnificia,bengaluru,"13th Floor, No. 78, Next to KR Puram Tin Factory, Old Madras Road, Mahadevapura Bengaluru, KA 560016",Chetana,Karnataka,dooravani nagar,650,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Virtual Address)"",""Services(HR/Admin/IT)"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Gaming Room"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Services(Courier/Mail Handling/Admin/Meeting Room)"",""Food"",""Pets Friendly"",""Power Backup"",""Leased Line""]",0,0,19000,platinum+,wework-Salarpuria Magnificia,4.9,490,42,"Day Pass, Private Cabin"
Regus Vasant Square,delhi nct,"Level 3 Vasant Square Mall, Pocket V, Sector B, New Delhi, Delhi 110070",Sanjeet,Delhi (NCT),vasant kunj,800,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking"",""Meeting Room"",""F&B Cafe""]",0,16423,16699,platinum+,Regus Vasant Square,4.7,149,87,"Day Pass, Dedicated Desk, Private Cabin"
wework-The Pavilion,bengaluru,"62/63, The Pavilion, Church Street Bengaluru, KA 560001",Chetana,Karnataka,ashok nagar,750,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Pets Friendly""]",0,0,26000,platinum+,wework-The Pavilion,3.8,399,23,"Day Pass, Private Cabin"
Hi-Tech City,hyderabad," Level 6, N Heights, Plot No 38, Phase 2, Siddiq Nagar, HITEC City, Hyderabad, Telangana 500081",,Telangana,hitec city,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Hi-Tech City,3.8,39,61,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
WorkFlo Icon Tower,pune,"Baner Road, Laxman Nagar, Baner, Pune, Maharashtra - 411045",Kishan  Singh,Maharashtra,baner,400,gold,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,6499,7499,gold,WorkFlo Icon Tower,4.2,84,44,"Day Pass, Dedicated Desk, Private Cabin"
GoHive,gurgaon,"GoHive Global Foyer, 404, 4th Floor, Global Foyer, Golf Course Road, Sector 43, Gurugram, Haryana 122002",,Haryana,sector 41,0,standard,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Locker/Storage""]",1530,15000,18000,standard,GoHive,4.9,185,92,"Flexi Desk, Dedicated Desk, Private Cabin"
WorkFlo Hitex Bizness Square,hyderabad,"4th and 5th Floor, Bizness Square, Junction, opposite Hitex Road, Jubilee Enclave, HITEC City, Madhapur, Hyderabad, Telangana 500084, India",Kamal Chaithanya	,Telangana,jubilee enclave,400,gold,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,6999,7999,standard,WorkFlo Hitex Bizness Square-I,4.5,46,89,"Day Pass, Dedicated Desk, Private Cabin"
Regus American Plaza,delhi nct,"Level S-2 American Plaza, New Delhi, Delhi 110019",Sanjeet,Delhi (NCT),rama krishna puram,1000,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,platinum+,Regus American Plaza,4.4,403,96,"Day Pass, Dedicated Desk"
Nehru Place,delhi nct,"The Great Eastern Centre, Awfis Space Solutions, GESCO), 70, Behind IFCI, Tower, Nehru Place, Delhi 110019",,Delhi (NCT),nehru place,800,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,4250,14500,platinum+,Nehru Place,4.8,91,99,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
wework-Vaishnavi Signature,bengaluru,"No. 78/9, Outer Ring Road, Bellandur Village Varthur Hobli Bengaluru, Karnataka 560103",Chetana,Karnataka,bellandur,650,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room"",""Pets Friendly""]",0,0,21000,platinum+,wework-Vaishnavi Signature,4.8,281,13,"Day Pass, Private Cabin"
GoHive,gurgaon,"GoHive Ocus,  2nd Floor, Tower-A, Ocus Technopolis, Golf Course Road, Sector 54, Gurugram, Haryana 122002",,Haryana,phase ii,0,standard,not live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access""]",1530,12000,15000,standard,GoHive,4.2,127,39,"Flexi Desk, Dedicated Desk, Private Cabin"
Lower Parel,mumbai,"Mathuradas Mill Compound, Ground & 1st Floor, Poddar Chambers, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",,Maharashtra,lower parel,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Lower Parel,3.5,200,59,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
AltF Coworking-Plaza Mall,gurgaon,"Unit A, 4th Floor, Plaza Mall, Mehrauli-Gurgaon Rd, Gurugram, Haryana",Ajit Kumar Satapathy,Haryana,sushant lok phase i,0,standard,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Power Backup"",""Reception"",""Wifi""]",0,9000,9000,standard,AltF Coworking-Plaza Mall,4.6,11,47,"Dedicated Desk, Private Cabin"
Schindler House,mumbai,"6th floor, Schindler House, Near Main Street, Chemtex Lane, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076",,Maharashtra,powai,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Schindler House,4.8,146,27,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
WorkFlo Unitech Cyber Park,gurgaon,"9th Floor, Tower B, Unitech Cyber Park, Sector 39, Gurgaon",,Haryana,sector 41,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,standard,WorkFlo Unitech Cyber Park,4.3,22,46,"Dedicated Desk, Private Cabin"
Awfis,delhi nct,"L29 - L34, First Floor, Connaught Place",,Delhi (NCT),connaught place,800,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,4250,14500,platinum+,Connaught Place,4.5,266,88,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Lotus Business Park,noida,"6th Floor, Lotus Business Park, Sector 127",,Uttar Pradesh,andheri west,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,gold,Lotus Business Park,3.6,14,84,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Globsyn Saltlake City,kolkata,"Podium & 1st floor, Globsyn, EP, Sector V, Salt Lake Electronics Complex, Kolkata, West Bengal 700091",,West Bengal,bidhannagar,500,gold,not live,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,11000,gold,Globsyn Saltlake City,3.6,115,32,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Residency Road,bengaluru," Sabari Complex, 24, Field Marshal, Cariappa Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",,Karnataka,ashok nagar,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,12000,gold,Residency Road,4.2,344,42,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Innov8 MIDC,mumbai,"Plot No.33, Chakala Industrial Area, MIDC Central Road, Andheri East, Near Goldfinch Hotel, Mumbai, Maharashtra 400093",,Maharashtra,magathane,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,standard,Innov8 MIDC,4.7,197,49,"Dedicated Desk, Private Cabin"
wework-Prestige Central,bengaluru,"Infantry Road, 36, Infantry Rd, Bangalore, KA 560001",Chetana,Karnataka,shivaji nagar,1000,platinum+,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room"",""Pets Friendly""]",0,0,27500,platinum+,wework-Prestige Central,4.3,346,88,"Day Pass, Private Cabin"
wework-Embassy Quest,bengaluru,"45/1, Magrath Road Richmond Town Bengaluru, Karnataka 560025",Chetana,Karnataka,ashok nagar,650,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Pets Friendly""]",0,0,25000,platinum+,wework-Embassy Quest,4.1,455,13,"Day Pass, Private Cabin"
Vashi,mumbai,"18th Floor, Cyber One, Opp CIDCO Exhibition Centre, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703",,Maharashtra,vashi,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Vashi,4.5,169,11,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Schindler House 2,mumbai,"5th floor, Schindler House, Near Main Street, Chemtex Lane, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076",,Maharashtra,powai,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Schindler House 2,3.6,223,45,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
wework-Prestige Cube,bengaluru,"Site No. 26, Laskar Hosur Road Adugodi, Koramangala Bengaluru, Karnataka 560029",Chetana,Karnataka,marathahalli,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,0,23500,platinum+,wework-Prestige Cube,3.9,40,18,Private Cabin
Regus Wave,delhi nct,"South Extension II M 4 1st Floor, New Delhi, Delhi 110049",,Delhi (NCT),dwarka,930,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,platinum+,Regus Wave,4.1,240,46,"Day Pass, Dedicated Desk"
GoHive,gurgaon,"GoHive Paras Trinity, 10 floor, Paras Trinity, Golf Course Ext Rd, Sector 63, Gurugram, Haryana 122102",,Haryana,huda colony,0,standard,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1530,10000,12000,standard,GoHive,3.5,245,63,"Flexi Desk, Dedicated Desk, Private Cabin"
wework-Manyata NXT Towers,bengaluru,"Hebbal, Embassy Manyata Business Park, Nagavara, Bangalore, KA 560045",Chetana,Karnataka,manayata tech park,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room""]",0,0,23500,platinum+,wework-Manyata NXT Towers,4.4,180,20,Private Cabin
wework-Salarpuria Symbiosis,bengaluru,"Bannerghatta Main Rd, Venugopal Reddy Layout, Arekere, Bangalore, KA 560076",Chetana,Karnataka,arekere,700,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room"",""Pets Friendly""]",0,0,17000,platinum+,wework-Salarpuria Symbiosis,4.9,347,71,"Day Pass, Private Cabin"
wework-Embassy TechVillage,bengaluru,"Block L, Embassy Tech Village Devarabisanahalli, Outer Ring Road, Bellandur Bengaluru, KA 560103",Chetana,Karnataka,kadabeesanahalli,650,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup"",""Gaming Room""]",0,0,22000,platinum+,wework-Embassy TechVillage,4.7,61,86,"Day Pass, Private Cabin"
Krastay-II,delhi nct,"Westend Marg, Sainik Farm, New Delhi, Delhi 110030, India",,Delhi (NCT),okhla industrial estate,500,gold,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",6500,7500,30000,silver,Krastay-II,3.9,456,77,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Andheri East,mumbai,"2A Wing, 5th Floor, Aakruti Trade Center, MIDC, Rd Number 7, Andheri East, Mumbai, Maharashtra 400093",,Maharashtra,andheri east,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Andheri East,4.9,299,70,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Innov8 Litolier Chamber,mumbai,"Litoliar Chamber, Andheri - Kurla Rd, Chimatpada, Marol, Andheri East, Mumbai, Maharashtra 400059",,Maharashtra,lower parel,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,standard,Innov8 Litolier Chamber,4.6,421,92,"Dedicated Desk, Private Cabin"
Lavelle Road,bengaluru,"14th floor, Skav 909 Building, Ashok Nagar, Lavelle Road, Bengaluru-560025, Bengaluru, Karnataka 560025",,Karnataka,ashok nagar,850,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Tea/Coffee""]",0,4500,14500,platinum+,Lavelle Road,4.4,254,71,"Day Pass, Dedicated Desk, Private Cabin"
Innov8 Amanora Mall,pune,"Amanora Mall, Mundhwa - Kharadi Road, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",,Maharashtra,shivajinagar,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,standard,Innov8 Amanora Mall,5.0,157,33,"Dedicated Desk, Private Cabin"
Regus Incube,delhi nct,"Essen House, Punj House, 17-18, Nehru Place 5th floor, New Delhi, Delhi 110019",Sanjeet,Delhi (NCT),nehru place,700,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,platinum,Regus Incube,4.5,405,91,"Day Pass, Dedicated Desk"
WorkFlo Krishe Sapphire,hyderabad,"8th Floor, Krishe Sapphire, Hitech City Road, Madhapur, Hyderabad - 500081",,Telangana,marathahalli,0,standard,not live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,standard,WorkFlo Krishe Sapphire,4.4,192,44,"Dedicated Desk, Private Cabin"
The Kode,pune,"6th Floor, The Kode, Baner - Pashan Link Rd, Baner, Pune, Maharashtra 411021",,Maharashtra,baner,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,The Kode,4.2,37,20,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Godrej Waterside Salt Lake,kolkata,"Godrej Waterside, 12th Floor, Tower II, DP-5, DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",,West Bengal,bidhannagar,500,gold,not live,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,11000,gold,Godrej Waterside Salt Lake,4.7,141,67,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Awfis Space,hyderabad,"Awfis Space Solutions, Ground Floor, North East Plaza, Erramanzil, Banjara Hills, Banjara Hills Hyderabad 500082",,Telangana,banjara hills,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,platinum,Awfis Space,4.5,323,74,"Day Pass, Dedicated Desk, Private Cabin"
Regus KLJ Tower,delhi nct,"2nd Floor KLJ Tower North B-5, District Centre, Netaji Subhash Place, New Delhi, Delhi 110034",Sanjeet,Delhi (NCT),netaji subhash place,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Meeting Room"",""F&B Cafe"",""Tea/Coffee""]",0,18499,19399,platinum,Regus KLJ Tower,3.8,254,51,"Day Pass, Dedicated Desk, Private Cabin"
Innov8,delhi nct,"2nd Floor, Property No. 44, Regal Building, Connaught Place, New Delhi - 110001",,Delhi (NCT),dwarka,200,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,standard,Innov8,3.6,153,50,"Day Pass, Dedicated Desk, Private Cabin"
ALTF Coworking,gurgaon,"6th Floor, Plot Number 4, Minarch Tower, Behind Indigo Building, Sector 44, Gurugram",,Haryana,sector 44,0,standard,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Power Backup"",""Reception"",""Wifi""]",0,8000,9500,standard,ALTF Coworking,5.0,20,16,"Dedicated Desk, Private Cabin"
Regus Rectangle,delhi nct,"4th Floor Rectangle No.1, behind Marriot Hotel, Saket, New Delhi, Delhi 110017",Sanjeet,Delhi (NCT),nehru place,800,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""F&B Cafe""]",0,18123,19399,platinum+,Regus Rectangle,3.8,343,78,"Day Pass, Dedicated Desk, Private Cabin"
